Artist,Lyrics
lin-manuel-miranda,"Two years later, see Alex and his mother bed-ridden"
lady-gaga,"I love this record baby, but I can't see straight anymore."
michael-jackson,I am here with you
nirvana,I would lose my soul
blink-182,Do you still feel the same way
lin-manuel-miranda,My notion didn't get a single vote
radiohead,And that's what really hurts
lady-gaga,"Baby, I just need one good one to stay Oh-oh-oh-oh-oh! Oh-oh-oh-oh-oh-oh!"
britney-spears,"Wrap me up in your arms and back to sleep (The palest green I've ever seen, the color of your eyes"
britney-spears,You looking at me with a sexy attitude
adele,Lay me down (Won't you)
lady-gaga,Like we're on top of the world in my Fashion!
nirvana,Invented at your birth? I can't see the end of me
lady-gaga,I loved Brigitte Nielsen's hair. I'd call you my champion
michael-jackson,"It was Sunday, what a black day"
bruno-mars,"(Gimme what you got, gimme gimme what you got) Yeah"
nirvana,'Cause they don't have any feelings Something in the way
adele,And I'm forever excusing your intentions
britney-spears,"You're taking me so far away, one look and you stop time"
michael-jackson,We're gonna shake it up and break it up
nirvana,As I want you to be
lin-manuel-miranda,Or will the blood we shed begin an endless cycle of vengeance and death with no defendants?
adele,"But nothing will never taint us I won't go, I can't do it on my own"
lady-gaga,Give me a million reasons
rihanna,But it keeps avoiding me
britney-spears,Let me see what you can do
blink-182,And I want to suck my dad
michael-jackson,"If you would take my hand, baby I would show you"
lin-manuel-miranda,"The world will never be the same, Alexander I am not throwing away my shot"
rihanna,And I'mma put it down Buckle up
blink-182,And your husband's in jail
michael-jackson,Are closing in to seal your doom
lin-manuel-miranda,I am an original Wait for it
lin-manuel-miranda,"Where do we draw the line So quick witted Alas, I admit it I bet you were quite a lawyer My defendants got acquitted Yeah, well, someone oughta remind you What You're nothing without Washington behind you Hamilton Daddy's calling In the eye of a hurricane"
nirvana,So what should I do? The finest day
michael-jackson,In the raw they don't know what you saw
bruno-mars,While I'm freakin' you I got your body rockin' side to side (straight up)
bruno-mars,So I ain't got a thing to lose.
nirvana,So what should I do? One more special
radiohead,All my past and futures
bruno-mars,Cause I've been thinking that I'm gonna lose it Chorus:
adele,"Oh if only, if only you knew"
rihanna,"You couldn't even come in my room, it smelled like a kilo"
radiohead,"From a great height (the panic, the vomit, the panic, the vomit)"
michael-jackson,I Just Can't Stop Loving You
bruno-mars,"Take me to a place where I don't care,"
britney-spears,"Candy from a stranger Shorty, have a bite"
lin-manuel-miranda,"You have torn it all apart, I'm watching it"
rihanna,Shine bright like a diamond
blink-182,And sees through the master plan But everybody's gone
bruno-mars,"Oh yeah yeah yeah yeah, uh!"
radiohead,"God loves his children, yeah"
adele,"You think we would and we do,"
britney-spears,"What you are, baby Womanizer, woman-womanizer"
blink-182,"We'll never give up, it's no use"
blink-182,Up in smoke with the fire we started
adele,To tell you I'm sorry
bruno-mars,Is when she dance in the mirror
nirvana,Over the past 62 years Then I'm going to get some plywood
radiohead,There's an empty space inside my heart
bruno-mars,While I kiss your neck and shoulders
rihanna,But still'll grab a nigga by the collar quick
nirvana,"Hello, hello, hello, how low"
britney-spears,"Left, right, nowhere to turn"
adele,So that we know that it hurts Our hearts break and hearts wait
lady-gaga,"Above my head, head, head"
rihanna,"I thought I would lose you,"
blink-182,I'll leave when I wanna Fate fell short this time
britney-spears,"That means you're speaking my language, come on"
lin-manuel-miranda,Plantation states are packed with promise makers
radiohead,Blame it on the black star
rihanna,So you care came see dome
britney-spears,"Boys, to love her and to hold (the way you move)"
radiohead,Who's in a bunker who's in a bunker?
bruno-mars,"Got our friends, got the night"
blink-182,"I guess its just another night alone Let's get started, the faint and broken-hearted"
radiohead,My thoughts are misguided and a little naive
rihanna,You better learn how to treat us right
blink-182,Of going back to San Diego
michael-jackson,Then Make That . . .)
radiohead,In your arms (don't hurt me)
nirvana,Don't expect me to lie
rihanna,But love is a game so fuck what you sayin' [Chorus]
lin-manuel-miranda,We'll get a little place in Harlem and we'll figure it out
michael-jackson,You really got a hold on me
bruno-mars,"So you better run run runaway, runaway baby"
lin-manuel-miranda,"And I'm drownin' in 'em Eliza, I don't have a dollar to my name"
lady-gaga,"Tailor these clothes to fit your guilt, what's your size?"
nirvana,You better beware Return of the rat
rihanna,All the signs I don't read
bruno-mars,"Give it to me motherfucker Oh look what you doing, look what you done"
michael-jackson,That's Much More In Demand
bruno-mars,"That's why you can catch me here,"
lady-gaga,We're talkin' the same old shit after all of these years Come to mama
rihanna,"Let me make you rise, rise"
blink-182,How do we fix this if we never have vision I saw you again and again and again
blink-182,Where you can always find me
britney-spears,Boy you got me blinded
rihanna,"Ain't like me, that chick too phony"
blink-182,These are the good old days
britney-spears,"It feels so good, I don't wanna stop"
radiohead,Where I end and where you start
lin-manuel-miranda,Tell 'em where you been
radiohead,This spacecraft blocking out the sky
lin-manuel-miranda,When are these colonies gonna rise up? Rise up
adele,That you and I are wrong
rihanna,"No there's just one, one, one"
britney-spears,"Don't be scared, don't be scared [Bridge x2] Mama use to tell me"
lady-gaga,"But baby, I just need one good one"
radiohead,Why should you care when I'm not there?
rihanna,Nuh body touch me you nuh righteous
lady-gaga,So do what you want
bruno-mars,Before I put my spell on you
michael-jackson,What did these soldiers come here for?
radiohead,"Yeah, I got the poison"
adele,My friends got their ladies
radiohead,Take back what is ours
blink-182,I screamed into a microphone
lady-gaga,"I've had enough, this is my prayer"
lin-manuel-miranda,Let's hatch a plot blacker than the kettle callin' the pot
adele,To the way you move
michael-jackson,You gave me hope when all hope is lost
radiohead,Where the weeds take root
radiohead,Just as the drinks arrive
nirvana,Your life is not the size of crap
lady-gaga,We like boys in cars
radiohead,Pull me out of the lake
britney-spears,"That you're a liar, a liar So here we go"
blink-182,"You'll be sorry when I'm gone I never conquered, rarely came"
adele,"Oh, and turned me off"
nirvana,A witch like we had thought
radiohead,"Because I'm stuffed, stuffed, stuffed"
michael-jackson,"I am the cover of the magazine, what a scene"
bruno-mars,Sex by the fire at night
lady-gaga,"S, S, S & M, M, M Oh, I love the feeling you bring to me"
blink-182,We would stay up all through the night
lady-gaga,New York is not just a tan
britney-spears,And I hear people talk
lady-gaga,But in the cultural sense
adele,Just look and you will see
rihanna,"Oh, I love the way you lie So maybe I'm a masochist"
lin-manuel-miranda,Your sentences left me defenseless
radiohead,This is what you'll get
michael-jackson,Someone like you to call mine
britney-spears,I'm going to places I can be out of control And I don't want to explain tonight
lady-gaga,Let's go to the party heard our buddy's the DJ
rihanna,'Cause now I'm using like I bleed It's like I checked into rehab
adele,Lay me down (Someone believe me) I would never break the rules unless you tell me to
rihanna,All I'm in is just skin
michael-jackson,They've gotta hear it from us
adele,"Like a fool for fire, I fall, with my pride and all."
blink-182,"It's too late, I fell through Nothing to lose"
adele,There is nothing you can't do
rihanna,Acting acting silly boy? (yeahhh) So silly boy get out my face (my face)
lady-gaga,"I must be myself, respect my youth A different lover is not a sin"
rihanna,Which one of us is really dumb Oh ooh
radiohead,I've got the smell of a local man
britney-spears,Come on and play inside my love below
michael-jackson,"But right now I just feel cold, so cold"
blink-182,You'll show up and walk by on the arm of that guy
blink-182,And I'm so unprepared so here's your valentine
nirvana,He loves her more than he would ever show I am buried up to my neck in
bruno-mars,There'll be no clear skies
lin-manuel-miranda,When so many have tried
rihanna,We're ten thousand miles apart
michael-jackson,And how can I stop losing you
britney-spears,If we could escape the crowd somehow
rihanna,Please don't call me on my bluff
rihanna,That's the way it was
lady-gaga,On the moonlight Every john is just the same
britney-spears,"We will, we will...ROCK YOU!! All:"
nirvana,"He'll give you breathing holes,"
rihanna,Please recognize I'm tryin babe!!!!
blink-182,These are the good old days You're not the only one who grew up feeling scared
adele,It's hard to understand just why
rihanna,"But baby ooh, you needed me You been rollin' around, shit I'm rollin up"
lin-manuel-miranda,Time What is it like in his shoes? Hamilton doesn't hesitate
lady-gaga,To cut through all his worn out leather
michael-jackson,See how cryin' has left its trace
nirvana,No recess Wouldn't you believe it
lady-gaga,"She so fab, it's beyond"
blink-182,I'll leave when I wanna Where do we go from here
bruno-mars,"I promise is a killer, you'll be banging on my chest"
bruno-mars,I'm too hot (hot damn)
rihanna,"Whats my name, whats my name Nor everybody,"
blink-182,And yesterday I thought of you
blink-182,Shine the beer for tequila and we headed into the party And then in the backyard some terrible ska band
britney-spears,Be like a rocket Take off
radiohead,Gather up the lost and sold (don't hurt me)
adele,Everything just takes me back
michael-jackson,I really get it when you're
rihanna,"you gave it to me,"
nirvana,"I'll be a gambler, baby"
lady-gaga,"But the ones who loved me, told me to stop"
nirvana,"Less is more, love is blind"
nirvana,"Until it's fucking gone I've got this friend, you see"
michael-jackson,"Darlin', keep on reachin' out for me"
lin-manuel-miranda,"""You have married an Icarus"
blink-182,Comes creeping on so haunting every time
blink-182,She's all I'm always wanting
adele,"It drags, as I lose my mind"
rihanna,Acting acting silly boy? You comin' with those corny lines
michael-jackson,Da de de da de da da dum
adele,"Under your thumb, I can't breathe So I won't let you close enough to hurt me"
rihanna,"Yeah, yeah, yeah I've been thinking bout ya late night"
lady-gaga,Doin' the love game I'm gonna marry the night
radiohead,There's a gap in between
nirvana,At night disco god. I was young my an' you were mine.
lin-manuel-miranda,We're gonna teach 'em how to say
britney-spears,"Really to hit, you could die"
blink-182,Cuz every now and then I kick the livin' shit out of me Can we forget about the things I said when I was drunk
lin-manuel-miranda,My name is Alexander Hamilton
lady-gaga,"Yeah, the dinners were nice"
lin-manuel-miranda,Every action's an act of creation
lady-gaga,I thought that baby you were done
lin-manuel-miranda,"Helpless Oh, look at those eyes Look into your eyes"
radiohead,I will eat you alive
lin-manuel-miranda,"And you turn back to me, smiling, and I'm"
rihanna,"Ask us where you at, we don't know"
michael-jackson,See what loving has done to me
blink-182,"I'm a dandelion, you're a four-leaf clover"
britney-spears,"Got lost in this game, oh baby"
radiohead,Something big is gonna happen
michael-jackson,He left the bloodstains on the carpet
lady-gaga,"Lord, show me the way"
michael-jackson,Keep It In The Closet
britney-spears,I need me (Action!) Say hello to the girl that I am
michael-jackson,There's a rocking in the chair
adele,Trust me I've learned it
lin-manuel-miranda,"Hey yo, I'm just like my country"
bruno-mars,"Pour it up, let's work Throw some perm on your attitude"
lady-gaga,"And create simple thoughts, I'll laugh in humble ways We both know I could learn a thing or two"
radiohead,In the next world war
michael-jackson,Why did you let him get her?
michael-jackson,Back to where I should have always stayed
britney-spears,(Some things don't change) (The girls roll up)
michael-jackson,I bet he never had a social life anyway
bruno-mars,I could have treated you better
nirvana,I don't mean to stare
britney-spears,(You want a piece of me)
bruno-mars,That I hold close to see your face everyday With you is where I'd rather be
rihanna,A man whose heart is hollow uh
adele,Baby please remember me once more When was the last time you thought of me?
rihanna,Work work work work work work
michael-jackson,But the kid is not my son
michael-jackson,Can't you see that I'm in love
bruno-mars,"Just go with it, go with it, go with it"
lady-gaga,Do what I want with your body
radiohead,"You want me, fucking come on and break the door down."
bruno-mars,i Know i'm not perfect
blink-182,Living in the perfect weather
michael-jackson,That You're The One For Me
nirvana,"Sunbeams are never made like me Don't expect me to cry,"
adele,I know some clothes you left behind.
blink-182,The voice inside my head (I miss you miss you) I miss you (miss you miss you)
lady-gaga,"C'mon baby, do you have a girlfriend?"
radiohead,A spectre of my mortal soul
blink-182,"Mother-fucker, tits, fart, turd, and twat. I fucked your mom"
blink-182,So here I am I'm trying
adele,It only makes it harder baby
radiohead,And fade out again and fade out
lin-manuel-miranda,Those redcoats don't want it with me
lady-gaga,'Cause I'm out in the club
adele,"He said to hold my breath, to sit and wait"
britney-spears,Watch me take it down Get on the floor
lady-gaga,Promise I'll always be there
michael-jackson,(Softly You Say To Me)
radiohead,They'd think that I'd finally lost it completely
britney-spears,"Im a big deal, its kinda twisted"
rihanna,"You're not easy to love, no Why is everything with you so complicated"
michael-jackson,Euphoria never to feel frustration
adele,And if I stay I'll be alive
lady-gaga,(All the glory that I bare)
lin-manuel-miranda,You sleep in your office instead
radiohead,When you mess with us
blink-182,Well I guess this is growing up And maybe I'll see you at a movie sneak preview
lin-manuel-miranda,And I'm drownin' in 'em I'm helpless Look into your eyes
blink-182,'Cause I love your little motions
bruno-mars,"Everywhere I go they be like (ooh, so player ooh)"
radiohead,Little by little by hook or by crook
rihanna,It's like a shock that spun me around
adele,"Say it ain't so, say it ain't so"
nirvana,You're the one I wanna refill In the someday what's that sound? This song is for lovers out there
lin-manuel-miranda,I wanna sit under my own vine and fig tree
nirvana,No one there to free my brother (Don't go there to free my brother?)
bruno-mars,And you don't need a man to know who you are
michael-jackson,I will answer all your prayers
lin-manuel-miranda,I'm willing to wait for it Wait for it
radiohead,Like a house falling in the sea
blink-182,Up at 3 AM with the searchlights shining down
lady-gaga,"And cracked open our last beer,"
radiohead,wish that I could flip one of those lies
blink-182,I am my own worst enemy
radiohead,And now I'll set you free
radiohead,Truth will mess you up
bruno-mars,'Cause lord knows I'm a rolling stone
britney-spears,"But she cry, cry, cries in her lonely heart, thinking"
nirvana,"Your enemy you were, my an' I was young."
rihanna,That's how we ball out Valet cost a hundred bills
adele,And I just want to make love to you
adele,I'm going back to where I started
radiohead,She ate me up for breakfast
bruno-mars,"Hey, we tryna have a good time tonight, let's go over here (let's go over here!) It's my birthday"
britney-spears,Tell me that I'll always be the one that you want
lin-manuel-miranda,I am not throwing away my shot
blink-182,(No control) It's Friday nights always save my life from the worst of times we ever had
adele,Still how can you walk away
lady-gaga,But there's no one home
britney-spears,"Where is your heart, when I'm not around"
michael-jackson,Who is that boogieman you’re thinking of?
bruno-mars,"Floor Floor It's a beautiful night ,"
lady-gaga,"Damn, you were in my Sexxx dreams (You were in my)"
adele,To persist with this heartbreak and running around
britney-spears,But I'm never gonna come
lady-gaga,Your bad romance I want your love and
lady-gaga,But you're giving me a million reasons
lady-gaga,"Love me love me, please retweet"
blink-182,These are the good old days
lin-manuel-miranda,"Drop and burn 'em up and scatter their remains, I'm Lafayette Watch me engagin' em, escapin' em"
rihanna,He wanna feel my summer rain
rihanna,You the one that I think about always
adele,"Swept away, I'm stolen Let the sky fall"
adele,"No, we ain't kids no more I'm giving you up"
michael-jackson,You say you love me but it's hard to see
